filename,connectivity_score,solid_pixels
synthetic_000.png,1.0,65536
synthetic_001.png,1.0,65536
synthetic_002.png,1.0,65536
synthetic_003.png,1.0,65536
synthetic_004.png,1.0,65536
synthetic_005.png,1.0,65536
synthetic_006.png,1.0,65536
synthetic_007.png,1.0,65536
synthetic_008.png,1.0,65536
synthetic_009.png,1.0,65536
synthetic_010.png,1.0,65536
synthetic_011.png,1.0,65536
synthetic_012.png,1.0,65536
synthetic_013.png,1.0,65536
synthetic_014.png,1.0,65536
synthetic_015.png,1.0,65536
synthetic_016.png,1.0,65536
synthetic_017.png,1.0,65536
synthetic_018.png,1.0,65536
synthetic_019.png,1.0,65536
synthetic_020.png,1.0,65536
synthetic_021.png,1.0,65536
synthetic_022.png,1.0,65536
synthetic_023.png,1.0,65536
synthetic_024.png,1.0,65536
synthetic_025.png,1.0,65536
synthetic_026.png,1.0,65536
synthetic_027.png,1.0,65536
synthetic_028.png,1.0,65536
synthetic_029.png,1.0,65536
synthetic_030.png,1.0,65536
synthetic_031.png,1.0,65536
synthetic_032.png,1.0,65536
synthetic_033.png,1.0,65536
synthetic_034.png,1.0,65536
synthetic_035.png,1.0,65536
synthetic_036.png,1.0,65536
synthetic_037.png,1.0,65536
synthetic_038.png,1.0,65536
synthetic_039.png,1.0,65536
synthetic_040.png,1.0,65536
synthetic_041.png,1.0,65536
synthetic_042.png,1.0,65536
synthetic_043.png,1.0,65536
synthetic_044.png,1.0,65536
synthetic_045.png,1.0,65536
synthetic_046.png,1.0,65536
synthetic_047.png,1.0,65536
synthetic_048.png,1.0,65536
synthetic_049.png,1.0,65536
synthetic_050.png,1.0,65536
synthetic_051.png,1.0,65536
synthetic_052.png,1.0,65536
synthetic_053.png,1.0,65536
synthetic_054.png,1.0,65536
synthetic_055.png,1.0,65536
synthetic_056.png,1.0,65536
synthetic_057.png,1.0,65536
synthetic_058.png,1.0,65536
synthetic_059.png,1.0,65536
synthetic_060.png,1.0,65536
synthetic_061.png,1.0,65536
synthetic_062.png,1.0,65536
synthetic_063.png,1.0,65536
synthetic_064.png,1.0,65536
synthetic_065.png,1.0,65536
synthetic_066.png,1.0,65536
synthetic_067.png,1.0,65536
synthetic_068.png,1.0,65536
synthetic_069.png,1.0,65536
synthetic_070.png,1.0,65536
synthetic_071.png,1.0,65536
synthetic_072.png,1.0,65536
synthetic_073.png,1.0,65536
synthetic_074.png,1.0,65536
synthetic_075.png,1.0,65536
synthetic_076.png,1.0,65536
synthetic_077.png,1.0,65536
synthetic_078.png,1.0,65536
synthetic_079.png,1.0,65536
synthetic_080.png,1.0,65536
synthetic_081.png,1.0,65536
synthetic_082.png,1.0,65536
synthetic_083.png,1.0,65536
synthetic_084.png,1.0,65536
synthetic_085.png,1.0,65536
synthetic_086.png,1.0,65536
synthetic_087.png,1.0,65536
synthetic_088.png,1.0,65536
synthetic_089.png,1.0,65536
synthetic_090.png,1.0,65536
synthetic_091.png,1.0,65536
synthetic_092.png,1.0,65536
synthetic_093.png,1.0,65536
synthetic_094.png,1.0,65536
synthetic_095.png,1.0,65536
synthetic_096.png,1.0,65536
synthetic_097.png,1.0,65536
synthetic_098.png,1.0,65536
synthetic_099.png,1.0,65536
synthetic_100.png,1.0,65536
synthetic_101.png,1.0,65536
synthetic_102.png,1.0,65536
synthetic_103.png,1.0,65536
synthetic_104.png,1.0,65536
synthetic_105.png,1.0,65536
synthetic_106.png,1.0,65536
synthetic_107.png,1.0,65536
synthetic_108.png,1.0,65536
synthetic_109.png,1.0,65536
synthetic_110.png,1.0,65536
synthetic_111.png,1.0,65536
synthetic_112.png,1.0,65536
synthetic_113.png,1.0,65536
synthetic_114.png,1.0,65536
synthetic_115.png,1.0,65536
synthetic_116.png,1.0,65536
synthetic_117.png,1.0,65536
synthetic_118.png,1.0,65536
synthetic_119.png,1.0,65536
synthetic_120.png,1.0,65536
synthetic_121.png,1.0,65536
synthetic_122.png,1.0,65536
synthetic_123.png,1.0,65536
synthetic_124.png,1.0,65536
synthetic_125.png,1.0,65536
synthetic_126.png,1.0,65536
synthetic_127.png,1.0,65536
