Mean_K,Mean_dP/dy,FlowRate,Porosity,Anisotropy,Type,density,stiffness_potential,stiffness_norm,flow_norm,score_flow_x_stiffness
0.1369337737560272,0.000421592965722,0.0008396113989874,0.04718017578125,0.991497814655304,synthetic,0.95281982421875,0.9078656174242496,1.0,1.0,1.0
0.1400040984153747,0.0004126051208004,0.0008219348383136,0.051849365234375,0.99203759431839,synthetic,0.948150634765625,0.8989896262064576,0.9902232323292796,0.9789467357218846,0.9693758009247216
0.1432253122329712,0.0004133951442781,0.0008260840550065,0.0649261474609375,0.9982675313949584,synthetic,0.9350738525390625,0.8743631097022444,0.9630975035522803,0.9838885655944949,0.947580621297692
0.1409503817558288,0.0004113432369194,0.0008303515496663,0.0693206787109375,1.0186095237731934,synthetic,0.9306793212890625,0.86616399907507,0.9540663094308017,0.9889712677409244,0.943544167546685
0.1432147026062011,0.0004109147703275,0.0008233556291088,0.0679473876953125,1.0036894083023071,synthetic,0.9320526123046875,0.8687220721039921,0.9568839874878028,0.9806389361814227,0.9383576955390768
0.1420557051897049,0.0004142228572163,0.0008247431833297,0.0756683349609375,0.9910376071929932,synthetic,0.9243316650390625,0.8543890269938856,0.9410963589720635,0.9822915509774742,0.924431002073922
0.1429835855960846,0.0004088511923328,0.0008164308965206,0.07708740234375,0.996865689754486,synthetic,0.92291259765625,0.8517676629126072,0.9382089667953274,0.972391391428515,0.9123063226728179
0.1479494720697403,0.0004065954417455,0.0008126651518978,0.0753021240234375,0.9986823797225952,synthetic,0.9246978759765625,0.8550661618355662,0.9418422125749366,0.9679062872156118,0.9116149991163439
0.1470180749893188,0.0004037747276015,0.0008063557324931,0.073028564453125,0.9970188736915588,synthetic,0.926971435546875,0.8592760423198342,0.9464793311126031,0.9603915971907867,0.9089907965153003
0.1459009349346161,0.000413017347455,0.0008260181057266,0.0846405029296875,0.9999355673789978,synthetic,0.9153594970703125,0.8378830088768154,0.9229152341444703,0.9838100182093836,0.9079732533093888
