epoch,total,recon,phys,lambda_phys,recon_weight,GradNorm,pred_Mean_K,pred_Mean_dP/dy,pred_FlowRate,pred_Porosity,pred_Anisotropy
1,0.12530991435050964,0.12077560275793076,0.03571998327970505,3.17,0.1,0.0977013507545621,-0.005020214710384607,0.013464859686791897,0.03266065567731857,0.04707689583301544,0.9682815074920654
2,0.13111792504787445,0.12078604847192764,0.03564051538705826,3.34,0.1,0.009798557186595502,-0.004813170060515404,0.013449518010020256,0.032684825360774994,0.047428056597709656,0.9691336750984192
3,0.13694272935390472,0.12079357355833054,0.03557360917329788,3.51,0.1,0.05503252524138702,-0.004657922778278589,0.013387033715844154,0.03271011263132095,0.04773488640785217,0.9698314666748047
4,0.14283126592636108,0.12079784274101257,0.03553029149770737,3.68,0.1,0.045022065947613044,-0.004706285428255796,0.013273447751998901,0.03283241391181946,0.04799887165427208,0.9704122543334961
5,0.1481941193342209,0.1208261176943779,0.0353536419570446,3.85,0.1,0.237908890841112,-0.004213220439851284,0.01317879930138588,0.032852653414011,0.048845984041690826,0.9714423418045044
6,0.15369991958141327,0.12084723263978958,0.035227660089731216,4.02,0.1,0.5226939135779958,-0.003874542424455285,0.0130618242546916,0.03280400112271309,0.0494561493396759,0.9721309542655945
7,0.15906865894794464,0.12086888402700424,0.03507918119430542,4.19,0.1,0.5002048512768056,-0.003502690466120839,0.012993735261261463,0.03284202516078949,0.05021775886416435,0.9727393388748169
8,0.16337554156780243,0.1209356039762497,0.034697700291872025,4.36,0.1,0.7036419856566454,-0.0024766153655946255,0.012791242450475693,0.03286219760775566,0.052207086235284805,0.973525881767273
9,0.16862201690673828,0.12096258997917175,0.03455314785242081,4.53,0.1,0.4359343761401533,-0.0020753087010234594,0.012755234725773335,0.03284166753292084,0.05296934396028519,0.9736770391464233
10,0.17356517910957336,0.12100432813167572,0.03435420244932175,4.7,0.1,0.1756988739518306,-0.001554724294692278,0.012837027199566364,0.03271154314279556,0.05413148179650307,0.972625732421875
11,0.17896705865859985,0.1210191622376442,0.034263890236616135,4.87,0.1,0.07461465704608372,-0.0013719480484724045,0.012765801511704922,0.032707855105400085,0.05466943234205246,0.9723682999610901
12,0.18465673923492432,0.12101680785417557,0.03423711657524109,5.04,0.1,0.36391500118753584,-0.0013794323895126581,0.012721157632768154,0.03272414952516556,0.054855793714523315,0.9723244309425354
13,0.19009342789649963,0.12103400379419327,0.034163154661655426,5.21,0.1,0.004094978006859762,-0.0011224340414628386,0.012673540972173214,0.03267927095293999,0.05518658459186554,0.9728256464004517
14,0.1957288384437561,0.12103934586048126,0.03413102403283119,5.380000000000001,0.1,0.06718988722209929,-0.0009786462178453803,0.01276755053550005,0.03266953304409981,0.05527070537209511,0.9736727476119995
15,0.20152288675308228,0.12104052305221558,0.03412951901555061,5.55,0.1,0.0017292238545794092,-0.0009713972103781998,0.01277656015008688,0.03267649933695793,0.05527422949671745,0.9737253785133362
16,0.20732396841049194,0.1210404485464096,0.03412935882806778,5.720000000000001,0.1,0.005019814322343663,-0.0009710193844512105,0.012776062823832035,0.03267644718289375,0.055275533348321915,0.9737198948860168
17,0.21299855411052704,0.12104424089193344,0.03410766273736954,5.890000000000001,0.1,0.16108960852763232,-0.0008470285683870316,0.012743380852043629,0.032668355852365494,0.055324189364910126,0.9742083549499512
18,0.2183215320110321,0.12105996906757355,0.03402896597981453,6.0600000000000005,0.1,0.31325142947025597,-0.0005031453329138458,0.012774437665939331,0.03262365981936455,0.05558960512280464,0.9755572080612183
19,0.22279220819473267,0.12111575901508331,0.0338171161711216,6.23,0.1,0.6869186587053946,0.0006124732317402959,0.012983027845621109,0.03241078183054924,0.056311801075935364,0.978080689907074
20,0.2279522866010666,0.1211715042591095,0.03372424095869064,6.4,0.1,0.2666292743169265,0.0015400460688397288,0.01318273413926363,0.03230742737650871,0.05632176995277405,0.9810810089111328
21,0.23242881894111633,0.12126310169696808,0.03353158384561539,6.57,0.1,1.1019736484577152,0.003429001197218895,0.013442854396998882,0.03185652568936348,0.05650823935866356,0.9852734804153442
22,0.23563122749328613,0.1213839128613472,0.033159174025058746,6.74,0.1,1.6230187744990872,0.005448941141366959,0.013464790768921375,0.030929721891880035,0.05802540481090546,0.9854386448860168
23,0.23872031271457672,0.1213739737868309,0.03279058262705803,6.91,0.1,3.0947612186073457,0.006291566416621208,0.013917217031121254,0.031182436272501945,0.05995096638798714,0.9913763999938965
24,0.23864462971687317,0.12156853824853897,0.031989797949790955,7.08,0.1,4.440616725636573,0.009897522628307343,0.014522982761263847,0.030783990398049355,0.06363110989332199,1.0001341104507446
25,0.23464824259281158,0.12199834734201431,0.03068253956735134,7.25,0.1,4.256857634776225,0.017152395099401474,0.01603437215089798,0.029929036274552345,0.0695696547627449,1.0106008052825928
26,0.22103197872638702,0.12286379933357239,0.028132829815149307,7.42,0.1,14.66292921265267,0.028845109045505524,0.015214079059660435,0.02503439038991928,0.08230710029602051,0.9962747097015381
27,0.21068763732910156,0.12440147995948792,0.026119563728570938,7.59,0.1,3.068698105954354,0.04675663635134697,0.01283455640077591,0.021983051672577858,0.09661000967025757,0.934508740901947
